category	number_of_genes	p_value	fdr	description
TISSUES	5	2.36e-08	5.21e-06	U2-OS cell
TISSUES	53	2.42e-08	5.21e-06	Embryonic structure
Function	5	7.3e-08	5.54e-06	Oxidized purine DNA binding
RCTM	7	3.06e-07	5.59e-06	Assembly of the ORC complex at the origin of replication
SMART	11	2.1e-08	5.73e-06	DEAD-like helicases superfamily
HPO	7	2.21e-07	6.01e-06	Hypoplastic labia majora
SMART	11	3.01e-08	6.18e-06	Helicase superfamily c-terminal domain
HPO	9	2.28e-07	6.18e-06	Opacification of the corneal stroma
RCTM	8	3.55e-07	6.44e-06	SCF(Skp2)-mediated degradation of p27/p21
HPO	8	2.47e-07	6.68e-06	Hypergonadotropic hypogonadism
HPO	13	2.56e-07	6.89e-06	Small for gestational age
TISSUES	103	3.74e-08	6.97e-06	Reproductive system
Process	7	1.09e-07	6.99e-06	Mitotic G1 DNA damage checkpoint signaling
HPO	33	2.62e-07	7.04e-06	Abnormal heart morphology
Process	5	1.18e-07	7.5e-06	Immunoglobulin V(D)J recombination
Process	160	1.38e-07	8.72e-06	Biological regulation
Function	5	1.18e-07	8.79e-06	Bubble DNA binding
Function	5	1.18e-07	8.79e-06	Single-stranded DNA endodeoxyribonuclease activity
Function	5	1.18e-07	8.79e-06	DNA/DNA annealing activity
Function	5	1.18e-07	8.79e-06	5-flap endonuclease activity
HPO	30	3.38e-07	9.07e-06	Abnormal hair morphology
Process	51	1.48e-07	9.34e-06	Cellular biosynthetic process
HPO	8	3.55e-07	9.51e-06	Slender long bone
HPO	8	3.55e-07	9.51e-06	Submucous cleft hard palate
HPO	32	3.77e-07	1e-05	Abnormality of skin adnexa morphology
TISSUES	183	5.95e-08	1.03e-05	Animal
HPO	14	4.05e-07	1.08e-05	Retrognathia
HPO	40	4.2e-07	1.11e-05	Abnormality of cardiovascular system morphology
InterPro	5	2.36e-08	1.13e-05	DNA clamp superfamily
Process	9	1.86e-07	1.16e-05	Chromosome organization involved in meiotic cell cycle
HPO	8	4.48e-07	1.18e-05	Keratitis
RCTM	4	6.72e-07	1.21e-05	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
RCTM	4	6.72e-07	1.21e-05	Resolution of AP sites via the single-nucleotide replacement pathway
WikiPathways	9	4.87e-07	1.27e-05	Pancreatic adenocarcinoma pathway
HPO	11	4.92e-07	1.29e-05	Joint hyperflexibility
COMPARTMENTS	22	4.01e-07	1.3e-05	Microtubule organizing center
HPO	30	5.29e-07	1.39e-05	Abnormality of joint mobility
Process	22	2.25e-07	1.4e-05	Positive regulation of transferase activity
HPO	7	5.6e-07	1.46e-05	Atresia of the external auditory canal
Process	147	2.56e-07	1.58e-05	Regulation of cellular process
HPO	11	6.35e-07	1.65e-05	Inflammatory abnormality of the eye
Component	26	4.51e-07	1.65e-05	Microtubule organizing center
HPO	7	6.46e-07	1.68e-05	Blepharitis
HPO	4	6.72e-07	1.74e-05	Deficient excision of UV-induced pyrimidine dimers in DNA
HPO	4	6.72e-07	1.74e-05	Prolonged G2 phase of cell cycle
InterPro	5	4.29e-08	1.93e-05	DNA recombination and repair protein, RecA-like
HPO	8	7.73e-07	1.99e-05	Clitoral hypertrophy
DISEASES	82	1.89e-07	2.06e-05	Disease of anatomical entity
DISEASES	11	1.89e-07	2.06e-05	Nervous system cancer
RCTM	4	1.2e-06	2.12e-05	G2 Phase
COMPARTMENTS	4	6.72e-07	2.15e-05	BRCA1-B complex
COMPARTMENTS	4	6.72e-07	2.15e-05	Rad17 RFC-like complex
COMPARTMENTS	4	6.72e-07	2.15e-05	Replication fork protection complex
COMPARTMENTS	4	6.72e-07	2.15e-05	Zeta DNA polymerase complex
COMPARTMENTS	4	6.72e-07	2.15e-05	DNA-dependent protein kinase-DNA ligase 4 complex
HPO	7	8.51e-07	2.17e-05	Decreased adipose tissue
HPO	7	8.51e-07	2.17e-05	Abnormal labia majora morphology
HPO	10	9.05e-07	2.3e-05	High, narrow palate
Process	6	3.75e-07	2.3e-05	Isotype switching
Process	51	3.91e-07	2.38e-05	Organic substance biosynthetic process
Component	4	6.72e-07	2.41e-05	Rad51B-Rad51C-Rad51D-XRCC2 complex
Component	4	6.72e-07	2.41e-05	DNA replication factor A complex
Component	4	6.72e-07	2.41e-05	DNA-dependent protein kinase-DNA ligase 4 complex
Component	4	6.72e-07	2.41e-05	Zeta DNA polymerase complex
Component	4	6.72e-07	2.41e-05	RecQ family helicase-topoisomerase III complex
Component	4	6.72e-07	2.41e-05	BRCA1-B complex
Component	4	6.72e-07	2.41e-05	GINS complex
Function	10	3.45e-07	2.43e-05	Protein N-terminus binding
HPO	7	9.72e-07	2.47e-05	Basal cell carcinoma
HPO	7	9.72e-07	2.47e-05	Demyelinating peripheral neuropathy
KEGG	12	1.11e-06	2.48e-05	Epstein-Barr virus infection
COMPARTMENTS	14	8.3e-07	2.48e-05	Ubiquitin ligase complex
Keyword	4	1.2e-06	2.52e-05	DNA excision
HPO	10	1.04e-06	2.63e-05	Decreased testicular size
HPO	8	1.05e-06	2.65e-05	Aplasia/Hypoplasia of the breasts
WikiPathways	9	1.05e-06	2.66e-05	Small cell lung cancer
KEGG	8	1.28e-06	2.69e-05	Pancreatic cancer
COMPARTMENTS	28	9.14e-07	2.7e-05	Microtubule cytoskeleton
TISSUES	108	1.82e-07	2.76e-05	Urogenital system
COMPARTMENTS	9	9.71e-07	2.83e-05	Nuclear DNA-directed RNA polymerase complex
Process	152	4.76e-07	2.88e-05	Regulation of biological process
HPO	6	1.22e-06	3.06e-05	Adipose tissue loss
HPO	26	1.32e-06	3.29e-05	Mean corpuscular volume
Process	5	5.47e-07	3.3e-05	Somatic hypermutation of immunoglobulin genes
HPO	10	1.36e-06	3.4e-05	Neoplasm of the central nervous system
Process	6	5.71e-07	3.43e-05	RNA-templated DNA biosynthetic process
COMPARTMENTS	4	1.2e-06	3.45e-05	FANCM-MHF complex
COMPARTMENTS	4	1.2e-06	3.45e-05	Elg1 RFC-like complex
COMPARTMENTS	4	1.2e-06	3.45e-05	Checkpoint clamp complex
RCTM	4	1.98e-06	3.48e-05	Sensing of DNA Double Strand Breaks
HPO	11	1.46e-06	3.64e-05	Narrow palate
Function	5	5.47e-07	3.8e-05	Single-stranded telomeric DNA binding
HPO	32	1.54e-06	3.81e-05	Abnormal nasal morphology
Component	4	1.2e-06	3.84e-05	Checkpoint clamp complex
Component	4	1.2e-06	3.84e-05	DNA replication factor C complex
HPO	9	1.57e-06	3.88e-05	Sparse scalp hair
KEGG	19	2.02e-06	3.99e-05	Pathways in cancer
Process	4	6.72e-07	4.02e-05	Response to intra-S DNA damage checkpoint signaling
Process	4	6.72e-07	4.02e-05	Lagging strand elongation
Process	4	6.72e-07	4.02e-05	Leading strand elongation
RCTM	6	2.37e-06	4.12e-05	Oncogene Induced Senescence
HPO	6	1.71e-06	4.24e-05	Craniofacial hyperostosis
DISEASES	7	4.17e-07	4.36e-05	Autosomal recessive cerebellar ataxia
RCTM	34	2.56e-06	4.43e-05	Post-translational protein modification
HPO	7	1.82e-06	4.48e-05	Ectropion
HPO	13	1.87e-06	4.61e-05	Abnormality of neutrophils
HPO	17	1.93e-06	4.73e-05	Peripheral neuropathy
HPO	4	1.98e-06	4.86e-05	Slender nose
HPO	4	1.98e-06	4.86e-05	Increased cellular sensitivity to UV light
Process	6	8.45e-07	4.98e-05	Regulation of DNA damage checkpoint
Function	5	7.52e-07	5.15e-05	DNA N-glycosylase activity
HPO	10	2.14e-06	5.21e-05	Bifid uvula
RCTM	4	3.09e-06	5.31e-05	2-LTR circle formation
COMPARTMENTS	4	1.98e-06	5.39e-05	DNA replication factor C complex
RCTM	8	3.19e-06	5.43e-05	Senescence-Associated Secretory Phenotype (SASP)
Process	89	9.53e-07	5.58e-05	Positive regulation of cellular process
COMPARTMENTS	12	2.11e-06	5.65e-05	Condensed chromosome
Function	39	8.5e-07	5.67e-05	Double-stranded DNA binding
Process	24	9.79e-07	5.71e-05	Immune system development
Process	5	1.01e-06	5.88e-05	Inner cell mass cell proliferation
Component	4	1.98e-06	6.15e-05	FANCM-MHF complex
HPO	8	2.68e-06	6.52e-05	Conjunctivitis
Function	5	1.01e-06	6.65e-05	Mismatched DNA binding
DISEASES	4	6.72e-07	6.86e-05	Xeroderma pigmentosum group F
DISEASES	4	6.72e-07	6.86e-05	Xeroderma pigmentosum group C
HPO	5	2.83e-06	6.87e-05	Squamous cell carcinoma of the skin
HPO	5	2.83e-06	6.87e-05	Cutaneous melanoma
Process	4	1.2e-06	6.94e-05	Nucleotide-excision repair, DNA gap filling
HPO	7	2.87e-06	6.94e-05	Neuroepithelial neoplasm
HPO	4	3.09e-06	7.43e-05	Anemic pallor
Function	4	1.2e-06	7.49e-05	Crossover junction endodeoxyribonuclease activity
Function	4	1.2e-06	7.49e-05	MutSalpha complex binding
Function	4	1.2e-06	7.49e-05	Y-form DNA binding
WikiPathways	4	3.09e-06	7.55e-05	DDX1 as a regulatory component of the Drosha microprocessor
Function	7	1.26e-06	7.57e-05	Cyclin-dependent protein serine/threonine kinase regulator activity
Process	5	1.34e-06	7.71e-05	DNA damage response, signal transduction resulting in transcription
Process	5	1.34e-06	7.71e-05	Response to UV-C
HPO	27	3.3e-06	7.89e-05	Increased inflammatory response
Process	8	1.41e-06	8.09e-05	Positive regulation of DNA recombination
RCTM	6	4.91e-06	8.27e-05	DNA Damage Recognition in GG-NER
RCTM	10	4.89e-06	8.27e-05	HIV Life Cycle
HPO	6	3.71e-06	8.83e-05	Pterygium
HPO	24	4.13e-06	9.78e-05	Abnormal external nose morphology
Component	33	3.23e-06	9.86e-05	Microtubule cytoskeleton
Process	31	1.75e-06	9.97e-05	Regulation of organelle organization
WikiPathways	9	4.28e-06	0.0001	CKAP4 signaling pathway map
HPO	5	4.4e-06	0.0001	Progeroid facial appearance
RCTM	4	6.6e-06	0.00011	Displacement of DNA glycosylase by APEX1
HPO	7	4.87e-06	0.00011	Neoplasm of the stomach
NetworkNeighborAL	4	1.2e-06	0.00011	VCB complex, and VHL beta domain
NetworkNeighborAL	4	1.2e-06	0.00011	Error-prone translesion synthesis
Process	4	1.98e-06	0.00011	Mitochondrial DNA repair
WikiPathways	4	4.6e-06	0.00011	NIPBL role in DNA damage - Cornelia de Lange syndrome
WikiPathways	4	4.6e-06	0.00011	Hijack of ubiquitination by SARS-CoV-2
NetworkNeighborAL	4	1.2e-06	0.00011	Cyclin E1-CDK2 complex, and Omphalocele
Process	8	1.87e-06	0.00011	Negative regulation of G1/S transition of mitotic cell cycle
SMART	4	6.72e-07	0.00011	DNA polymerase type-B family
DISEASES	4	1.2e-06	0.00012	Werner syndrome
HPO	12	5.25e-06	0.00012	Abnormality of the pancreas
DISEASES	4	1.2e-06	0.00012	Nijmegen breakage syndrome
WikiPathways	6	5.62e-06	0.00012	Bladder cancer
DISEASES	4	1.2e-06	0.00012	Rothmund-Thomson syndrome
HPO	22	5.15e-06	0.00012	Mean corpuscular hemoglobin
KEGG	6	6.41e-06	0.00012	Bladder cancer
HPO	7	5.38e-06	0.00013	Embryonal neoplasm
WikiPathways	7	5.94e-06	0.00013	Prader-Willi and Angelman syndrome
Process	17	2.32e-06	0.00013	Response to xenobiotic stimulus
Process	26	2.26e-06	0.00013	Protein modification by small protein conjugation or removal
RCTM	5	7.94e-06	0.00013	Telomere Extension By Telomerase
KEGG	10	7.97e-06	0.00014	Hepatitis B
KEGG	10	8.4e-06	0.00014	MicroRNAs in cancer
Process	7	2.57e-06	0.00014	Positive regulation of fibroblast proliferation
Keyword	8	7.64e-06	0.00015	Meiosis
Keyword	6	7.29e-06	0.00015	Telomere
HPO	5	6.58e-06	0.00015	Colorectal polyposis
HPO	11	6.56e-06	0.00015	Abnormal nasal dorsum morphology
HPO	4	6.6e-06	0.00015	Ivory epiphyses
HPO	4	6.6e-06	0.00015	Numerous pigmented freckles
SMART	4	1.2e-06	0.00016	ERCC4 domain
SMART	4	1.2e-06	0.00016	Xeroderma pigmentosum G N-region
Process	7	2.87e-06	0.00016	Regulation of telomere maintenance via telomerase
SMART	4	1.2e-06	0.00016	Helix-hairpin-helix class 2 (Pol1 family) motifs
SMART	4	1.98e-06	0.00016	Helix-hairpin-helix DNA-binding motif class 1
Function	6	2.76e-06	0.00016	Cyclin binding
NetworkNeighborAL	4	1.98e-06	0.00016	NIPBL role in DNA damage - Cornelia de Lange syndrome
SMART	4	1.2e-06	0.00016	Xeroderma pigmentosum G I-region
KEGG	7	1.04e-05	0.00017	Non-small cell lung cancer
COMPARTMENTS	9	6.34e-06	0.00017	ATPase complex
Process	4	3.09e-06	0.00017	DNA double-strand break processing involved in repair via single-strand annealing
HPO	7	7.2e-06	0.00017	Abnormality of the auditory canal
Process	4	3.09e-06	0.00017	DNA replication, synthesis of RNA primer
HPO	11	7.2e-06	0.00017	Alopecia
Process	4	3.09e-06	0.00017	Replication-born double-strand break repair via sister chromatid exchange
Process	4	3.09e-06	0.00017	Regulation of mitotic recombination
Function	5	2.83e-06	0.00017	5-3 exonuclease activity
RCTM	5	1.13e-05	0.00018	Cyclin A/B1/B2 associated events during G2/M transition
Process	9	3.49e-06	0.00019	Regulation of cyclin-dependent protein serine/threonine kinase activity
HPO	10	8.4e-06	0.00019	Camptodactyly of finger
Process	36	3.59e-06	0.00019	Regulation of protein modification process
Component	199	6.48e-06	0.0002	Cellular anatomical entity
Component	9	6.75e-06	0.0002	Nuclear DNA-directed RNA polymerase complex
HPO	21	8.81e-06	0.0002	Abnormal hair quantity
HPO	9	8.64e-06	0.0002	Abnormality of female external genitalia
KEGG	7	1.35e-05	0.00021	Glioma
Process	7	3.97e-06	0.00021	G2/M transition of mitotic cell cycle
HPO	4	9.16e-06	0.00021	Abnormality of amino acid metabolism
HPO	12	9.03e-06	0.00021	Fever
InterPro	10	5.07e-07	0.00021	Helicase superfamily 1/2, ATP-binding domain
KEGG	7	1.47e-05	0.00021	Melanoma
WikiPathways	7	1.04e-05	0.00021	Melanoma
Process	16	4.09e-06	0.00022	In utero embryonic development
Process	9	4.28e-06	0.00023	Blastocyst development
Component	7	7.91e-06	0.00023	Germ cell nucleus
Process	4	4.6e-06	0.00024	Pyrimidine dimer repair
RCTM	7	1.59e-05	0.00026	Diseases of programmed cell death
KEGG	7	1.88e-05	0.00026	Chronic myeloid leukemia
HPO	10	1.14e-05	0.00026	Abnormality of the ovary
Function	4	4.6e-06	0.00026	Single-stranded DNA helicase activity
Function	4	4.6e-06	0.00026	5-3 DNA helicase activity
InterPro	4	6.72e-07	0.00027	DNA-directed DNA polymerase, family B, exonuclease domain
InterPro	4	6.72e-07	0.00027	DNA-directed DNA polymerase, family B, multifunctional domain
InterPro	4	6.72e-07	0.00027	DNA polymerase, palm domain superfamily
HPO	17	1.19e-05	0.00027	Dysarthria
InterPro	4	6.72e-07	0.00027	GINS, helical bundle-like domain superfamily
InterPro	4	6.72e-07	0.00027	DNA-directed DNA polymerase, family B
HPO	8	1.26e-05	0.00028	Erythema
Process	36	5.23e-06	0.00028	Positive regulation of molecular function
HPO	7	1.24e-05	0.00028	Arteriosclerosis
WikiPathways	7	1.47e-05	0.00029	Non-small cell lung cancer
WikiPathways	7	1.47e-05	0.00029	Head and neck squamous cell carcinoma
RCTM	3	1.96e-05	0.00031	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6
Keyword	4	1.64e-05	0.00031	Progressive external ophthalmoplegia
RCTM	3	1.96e-05	0.00031	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6
Keyword	4	1.64e-05	0.00031	DNA synthesis
Process	11	5.97e-06	0.00031	B cell activation
HPO	10	1.39e-05	0.00031	Decreased circulating antibody level
RCTM	3	1.96e-05	0.00031	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
Process	8	6.09e-06	0.00032	Regulation of fibroblast proliferation
Process	12	6.22e-06	0.00032	protein-DNA complex assembly
RCTM	4	2.13e-05	0.00033	IRF3-mediated induction of type I IFN
Process	5	6.58e-06	0.00034	Telomere maintenance via telomerase
WikiPathways	6	1.84e-05	0.00035	TROP2 regulatory signaling
WikiPathways	5	1.84e-05	0.00035	Sphingolipid metabolism in senescence
HPO	5	1.58e-05	0.00035	Stomach cancer
Keyword	3	1.96e-05	0.00036	Li-Fraumeni syndrome
HPO	11	1.6e-05	0.00036	Abnormal immunoglobulin level
InterPro	4	1.2e-06	0.00037	Helix-hairpin-helix motif, class 2
Process	6	7.29e-06	0.00037	Negative regulation of DNA biosynthetic process
Process	14	7.14e-06	0.00037	Apoptotic signaling pathway
HPO	18	1.67e-05	0.00037	Mean corpuscular hemoglobin concentration
InterPro	4	1.2e-06	0.00037	XPG/Rad2 endonuclease
HPO	6	1.65e-05	0.00037	Short chin
WikiPathways	6	2.04e-05	0.00037	Photodynamic therapy-induced AP-1 survival signaling
InterPro	4	1.2e-06	0.00037	Restriction endonuclease type II-like
InterPro	4	1.2e-06	0.00037	ERCC4 domain
InterPro	4	1.2e-06	0.00037	XPG-I domain
InterPro	4	1.2e-06	0.00037	DNA polymerase lambda lyase domain superfamily
InterPro	4	1.2e-06	0.00037	5-3 exonuclease, C-terminal domain superfamily
InterPro	4	1.2e-06	0.00037	DNA polymerase family B, thumb domain
InterPro	4	1.2e-06	0.00037	DNA helicase, ATP-dependent, RecQ type
Process	93	7.47e-06	0.00038	Positive regulation of biological process
HPO	11	1.81e-05	0.0004	Specific learning disability
Process	8	8.23e-06	0.00042	Signal transduction by p53 class mediator
HPO	8	1.88e-05	0.00042	Narrow face
HPO	3	1.96e-05	0.00043	Retinoblastoma
HPO	20	1.98e-05	0.00044	Flexion contracture
HPO	20	1.98e-05	0.00044	Joint contracture
InterPro	4	1.98e-06	0.00045	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal
DISEASES	6	4.91e-06	0.00045	Urinary bladder cancer
InterPro	4	1.98e-06	0.00045	XPG, N-terminal
Process	4	9.16e-06	0.00047	Transcription-coupled nucleotide-excision repair
HPO	4	2.13e-05	0.00047	Birth length less than 3rd percentile
HPO	4	2.13e-05	0.00047	Complete duplication of thumb phalanx
HPO	5	2.14e-05	0.00047	Non-Hodgkin lymphoma
HPO	7	2.2e-05	0.00048	Retinopathy
HPO	11	2.22e-05	0.00049	Photophobia
RCTM	11	3.28e-05	0.0005	HIV Infection
COMPARTMENTS	3	1.96e-05	0.00051	MCM core complex
Function	4	9.16e-06	0.00051	G-quadruplex DNA binding
COMPARTMENTS	3	1.96e-05	0.00051	Cyclin E1-CDK2 complex
COMPARTMENTS	3	1.96e-05	0.00051	Nucleotide-excision repair factor 1 complex
HPO	22	2.33e-05	0.00051	Abnormal cerebellum morphology
Function	4	9.16e-06	0.00051	Four-way junction DNA binding
KEGG	13	3.87e-05	0.00052	Human papillomavirus infection
KEGG	9	3.93e-05	0.00052	Cushing syndrome
Process	9	1.03e-05	0.00052	Regulation of chromosome segregation
Process	6	1.05e-05	0.00053	DNA damage response, signal transduction by p53 class mediator
HPO	8	2.42e-05	0.00053	Nevus
HPO	5	2.48e-05	0.00054	Reticulocytopenia
HPO	5	2.48e-05	0.00054	Osteosarcoma
COMPARTMENTS	4	2.13e-05	0.00054	Nuclear telomere cap complex
COMPARTMENTS	4	2.13e-05	0.00054	Lateral element
Component	3	1.96e-05	0.00055	ERCC4-ERCC1 complex
Component	3	1.96e-05	0.00055	Nucleotide-excision repair factor 1 complex
Component	4	2.13e-05	0.00055	Nuclear telomere cap complex
Component	6	2.04e-05	0.00055	Male germ cell nucleus
Component	3	1.96e-05	0.00055	Replication fork protection complex
Component	3	1.96e-05	0.00055	Elg1 RFC-like complex
Component	3	1.96e-05	0.00055	DNA ligase IV complex
Component	3	1.96e-05	0.00055	Cyclin E1-CDK2 complex
Component	3	1.96e-05	0.00055	XPC complex
HPO	8	2.57e-05	0.00056	Abnormal rectum morphology
TISSUES	29	4.2e-06	0.00057	Uterus
HPO	4	2.71e-05	0.00058	Complete duplication of phalanx of hand
Component	13	2.34e-05	0.00058	Ubiquitin ligase complex
HPO	15	2.68e-05	0.00058	Mean reticulocyte volume
HPO	7	2.76e-05	0.00059	Thin skin
InterPro	9	2.83e-06	0.0006	Helicase, C-terminal
HPO	5	2.85e-05	0.00061	Aplastic anemia
HPO	5	2.85e-05	0.00061	Acute lymphoblastic leukemia
HPO	11	2.92e-05	0.00062	Corneal opacity
TISSUES	5	5.4e-06	0.00062	Skin fibroblast cell line
WikiPathways	5	3.74e-05	0.00066	Type 2 papillary renal cell carcinoma
Component	4	2.71e-05	0.00066	Lateral element
Function	19	1.23e-05	0.00067	Transcription factor binding
HPO	13	3.21e-05	0.00068	Aplasia/hypoplasia involving bones of the lower limbs
HPO	9	3.23e-05	0.00068	Abnormal lymphocyte morphology
HPO	8	3.28e-05	0.00069	Age at menopause
Process	29	1.38e-05	0.0007	Positive regulation of catalytic activity
HPO	4	3.41e-05	0.00071	Hypoplastic pelvis
HPO	3	3.4e-05	0.00071	Abnormal tibial metaphysis morphology
HPO	3	3.4e-05	0.00071	Patchy demyelination of subcortical white matter
RCTM	10	4.83e-05	0.00073	Mitotic G2-G2/M phases
RCTM	11	5.3e-05	0.00079	Neddylation
Process	55	1.59e-05	0.0008	Regulation of molecular function
Component	3	3.4e-05	0.00081	DNA-dependent protein kinase complex
Component	3	3.4e-05	0.00081	Delta DNA polymerase complex
Component	3	3.4e-05	0.00081	Mre11 complex
Process	4	1.64e-05	0.00082	Cellular response to X-ray
HPO	10	3.93e-05	0.00082	Immunodeficiency
Process	4	1.64e-05	0.00082	Base-excision repair, AP site formation
COMPARTMENTS	3	3.4e-05	0.00082	Delta DNA polymerase complex
COMPARTMENTS	3	3.4e-05	0.00082	Cyclin D1-CDK4 complex
COMPARTMENTS	3	3.4e-05	0.00082	MCM8-MCM9 complex
HPO	12	4.06e-05	0.00084	Joint hypermobility
HPO	12	4.06e-05	0.00084	Abnormality of the vasculature of the eye
HPO	5	4.25e-05	0.00088	Premature graying of hair
HPO	6	4.42e-05	0.00091	Malignant neoplasm of the central nervous system
Function	13	1.73e-05	0.00093	Ubiquitin protein ligase binding
HPO	34	4.56e-05	0.00094	Erythrocyte indices
Process	8	1.88e-05	0.00094	Regulation of signal transduction by p53 class mediator
Process	8	1.88e-05	0.00094	Regulation of sister chromatid segregation
Process	3	1.96e-05	0.00097	Telomeric DNA-containing double minutes formation
Process	3	1.96e-05	0.00097	Negative regulation of protection from non-homologous end joining at telomere
Process	3	1.96e-05	0.00097	DNA replication preinitiation complex assembly
Process	3	1.96e-05	0.00097	Regulation of single strand break repair
Process	9	2.03e-05	0.00099	Positive regulation of protein modification by small protein conjugation or removal
Process	4	2.13e-05	0.001	Regulation of nuclear cell cycle DNA replication
Function	3	1.96e-05	0.001	DNA ligase (ATP) activity
Function	44	2.03e-05	0.001	Transferase activity
Function	3	1.96e-05	0.001	DNA-dependent protein kinase activity
HPO	10	5.03e-05	0.001	Narrow mouth
HPO	6	4.82e-05	0.001	Decreased circulating IgG level
Process	4	2.13e-05	0.001	UV-damage excision repair
Function	3	1.96e-05	0.001	DNA clamp loader activity
RCTM	4	7.55e-05	0.0011	Transcription of E2F targets under negative control by DREAM complex
HPO	6	5.26e-05	0.0011	Melanocytic nevus
HPO	14	5.31e-05	0.0011	Abnormality of the voice
HPO	3	5.4e-05	0.0011	Widely spaced primary teeth
HPO	3	5.4e-05	0.0011	Hypoplasia of the primary teeth
HPO	6	5.26e-05	0.0011	Simplified gyral pattern
Process	7	2.2e-05	0.0011	Protein autoubiquitination
Function	4	2.13e-05	0.0011	DNA-(apurinic or apyrimidinic site) endonuclease activity
Function	4	2.13e-05	0.0011	3-5-exodeoxyribonuclease activity
KEGG	7	8.7e-05	0.0011	Prostate cancer
Process	17	2.4e-05	0.0012	Positive regulation of organelle organization
COMPARTMENTS	3	5.4e-05	0.0012	Cyclin A2-CDK2 complex
COMPARTMENTS	4	5.18e-05	0.0012	Enzyme activator complex
Process	20	2.54e-05	0.0012	Embryo development ending in birth or egg hatching
Component	3	5.4e-05	0.0012	Cyclin A2-CDK2 complex
HPO	13	6.03e-05	0.0012	Limb joint contracture
RCTM	3	8.04e-05	0.0012	PTK6 Regulates Cell Cycle
KEGG	8	9.62e-05	0.0012	Ubiquitin mediated proteolysis
Process	4	2.71e-05	0.0013	Positive regulation of DNA-templated DNA replication
WikiPathways	4	7.55e-05	0.0013	TP53 network
Process	4	2.71e-05	0.0013	Telomere maintenance in response to DNA damage
Process	45	2.71e-05	0.0013	Regulation of catalytic activity
HPO	4	6.29e-05	0.0013	Adenomatous colonic polyposis
Process	4	2.71e-05	0.0013	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
WikiPathways	6	8.61e-05	0.0014	Thyroid stimulating hormone (TSH) signaling pathway
WikiPathways	6	7.96e-05	0.0014	Pathways affected in adenoid cystic carcinoma
HPO	14	7.11e-05	0.0014	Thickened skin
HPO	6	6.77e-05	0.0014	Intellectual disability, progressive
InterPro	4	6.6e-06	0.0014	RuvA domain 2-like
InterPro	7	7.2e-06	0.0014	Ribonuclease H-like superfamily
HPO	11	6.77e-05	0.0014	Abnormality of the elbow
WikiPathways	10	9.34e-05	0.0015	Ciliary landscape
SMART	3	1.96e-05	0.0015	Minichromosome  maintenance proteins
Process	5	3.27e-05	0.0015	Intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
HPO	8	7.48e-05	0.0015	Carious teeth
Keyword	4	8.99e-05	0.0016	SCID
Function	3	3.4e-05	0.0016	Telomeric D-loop binding
Function	3	3.4e-05	0.0016	MutLalpha complex binding
Process	3	3.4e-05	0.0016	Nucleotide-excision repair, DNA incision, 5-to lesion
HPO	3	8.04e-05	0.0016	Peripheral dysmyelination
HPO	3	8.04e-05	0.0016	Brain neoplasm
HPO	6	7.96e-05	0.0016	Abnormal T cell count
HPO	13	8.23e-05	0.0016	Abnormality of temperature regulation
HPO	3	8.04e-05	0.0016	Square pelvis bone
HPO	3	8.04e-05	0.0016	Normal pressure hydrocephalus
RCTM	5	0.00011	0.0016	Defective pyroptosis
Process	3	3.4e-05	0.0016	DNA recombinase assembly
Process	3	3.4e-05	0.0016	Telomeric 3 overhang formation
Process	3	3.4e-05	0.0016	Cellular response to camptothecin
Process	3	3.4e-05	0.0016	Positive regulation of t-circle formation
Function	3	3.4e-05	0.0016	Double-stranded DNA exodeoxyribonuclease activity
Process	6	3.68e-05	0.0017	Intrinsic apoptotic signaling pathway by p53 class mediator
HPO	6	8.61e-05	0.0017	Neoplasm of the colon
HPO	11	8.3e-05	0.0017	Camptodactyly
RCTM	37	0.00012	0.0017	Metabolism of proteins
HPO	8	8.71e-05	0.0017	Abnormal lymphocyte count
Process	5	3.74e-05	0.0017	Histone phosphorylation
DISEASES	3	1.96e-05	0.0018	DNA ligase IV deficiency
DISEASES	3	1.96e-05	0.0018	Fanconi anemia complementation group D1
DISEASES	3	1.96e-05	0.0018	Xeroderma pigmentosum group D
DISEASES	3	1.96e-05	0.0018	Xeroderma pigmentosum group A
DISEASES	3	1.96e-05	0.0018	Severe combined immunodeficiency with sensitivity to ionizing radiation
HPO	4	8.99e-05	0.0018	Duplicated collecting system
Pfam	4	6.72e-07	0.0018	MCM N-terminal domain
RCTM	6	0.00013	0.0019	CDK-mediated phosphorylation and removal of Cdc6
DISEASES	8	2.27e-05	0.0019	Cerebellar ataxia
RCTM	5	0.00013	0.0019	Base-Excision Repair, AP Site Formation
HPO	9	9.67e-05	0.0019	Abnormal dental enamel morphology
Keyword	9	0.00011	0.002	Tumor suppressor
HPO	11	0.0001	0.002	Upper-limb joint contracture
HPO	6	0.0001	0.002	Gastrointestinal atresia
