category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
NetworkNeighborAL	CL:6903	13	27	9606	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	CCNA1,CDK4,CCNE1,CDK6,CDK2,RB1,SKP2,E2F1,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	3.85e-23	2.51e-20	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
PMID	PMID:21615925	16	56	9606	CDC6,ORC6,POLA2,CDK2,SKP2,CDT1,MCM7,E2F1,PRIM1,RRM2,ORC1,CDC7,CDKN2A,MCM3,CCNA2,PRIM2	CDC6,ORC6,POLA2,CDK2,SKP2,CDT1,MCM7,E2F1,PRIM1,RRM2,ORC1,CDC7,CDKN2A,MCM3,CCNA2,PRIM2	2.65e-25	2.63e-20	(2011) The dynamics of E1A in regulating networks and canonical pathways in quiescent cells.
PMID	PMID:23336032	14	27	9606	CDC6,MCM5,ORC6,MCM4,MCM6,CDK2,CDT1,MCM7,MCM9,MCM8,CDK1,MCM10,MCM3,MCM8-2	CDC6,MCM5,ORC6,MCM4,MCM6,CDK2,CDT1,MCM7,MCM9,MCM8,CDK1,MCM10,MCM3,MCM8-2	3.1999999999999997e-25	3.11e-20	(2012) Genome wide comparative comprehensive analysis of Plasmodium falciparum MCM family with human host.
PMID	PMID:28077461	14	27	9606	CDC6,MCM5,ORC6,CCNA1,MCM4,MCM6,MCM2,DBF4,CDK2,TICRR,CDT1,MCM7,MCM3,CCNA2	CDC6,MCM5,ORC6,CCNA1,MCM4,MCM6,MCM2,DBF4,CDK2,TICRR,CDT1,MCM7,MCM3,CCNA2	3.1999999999999997e-25	3.11e-20	(2017) Human RIF1 and protein phosphatase 1 stimulate DNA replication origin licensing but suppress origin activation.
PMID	PMID:28383499	13	17	9606	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,GINS3,MCM10,MCM3	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,GINS3,MCM10,MCM3	3.93e-25	3.66e-20	(2017) Eukaryotic Replicative Helicase Subunit Interaction with DNA and Its Role in DNA Replication.
PMID	PMID:34068957	14	28	9606	CDC6,MCM5,RBX1,ORC6,MCM6,DBF4,CDK2,SKP2,E2F1,DTL,CDKN1A,CUL2,MCM10,ORC4	CDC6,MCM5,RBX1,ORC6,MCM6,DBF4,CDK2,SKP2,E2F1,DTL,CDKN1A,CUL2,MCM10,ORC4	4.78e-25	4.36e-20	(2021) Regulation of DNA Replication Licensing and Re-Replication by Cdt1.
Component	GO:0005634	65	7672	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	3.51e-22	5.98e-20	Nucleus
PMID	PMID:33535947	13	18	9606	MCM5,POLE2,MCM4,POLD3,MCM6,POLA2,MCM7,POLE,PRIM1,POLA1,POLE4,MCM3,PRIM2	MCM5,POLE2,MCM4,POLD3,MCM6,POLA2,MCM7,POLE,PRIM1,POLA1,POLE4,MCM3,PRIM2	6.75e-25	6.03e-20	(2021) Role of Amygdalin in Blocking DNA Replication in Breast Cancer In Vitro.
RCTM	HSA-176974	11	12	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,MCM8,GINS3,MCM3	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,MCM8,GINS3,MCM3	5.31e-22	7.12e-20	Unwinding of DNA
Component	GO:0031261	11	12	9606	MCM5,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	MCM5,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	5.31e-22	7.92e-20	DNA replication preinitiation complex
Component	GO:0032991	58	5506	9606	MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,RRM2,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,RRM2,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	5.0300000000000005e-22	7.92e-20	Protein-containing complex
PMID	PMID:31443434	16	62	9606	CDC6,MCM5,ORC6,ORC3,CDK4,MCM4,MCM6,CDK6,CDK2,CDC25A,MCM7,CDK1,CDKN1A,CDC7,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,CDK4,MCM4,MCM6,CDK6,CDK2,CDC25A,MCM7,CDK1,CDKN1A,CDC7,ORC4,MCM3	1.09e-24	9.53e-20	(2019) Synergy of NUP98-HOXA10 Fusion Gene and NrasG12D Mutation Preserves the Stemness of Hematopoietic Stem Cells on Culture Condition.
PMID	PMID:29463213	13	19	9606	MCM5,CCNA1,CDK4,MCM4,MCM6,CDK2,MCM7,MCM9,MCM8,MCM10,MCM3,CCNA2,MCM8-2	MCM5,CCNA1,CDK4,MCM4,MCM6,CDK2,MCM7,MCM9,MCM8,MCM10,MCM3,CCNA2,MCM8-2	1.13e-24	9.74e-20	(2018) MCM family in HCC: MCM6 indicates adverse tumor features and poor outcomes and promotes SG2 cell cycle progression.
PMID	PMID:27384026	16	63	9606	CDC6,MCM5,ORC6,MAD2L2,MCM4,MCM6,DBF4,TICRR,ORC5,CDT1,MCM7,REV3L,WDHD1,CDC7,MCM10,MCM3	CDC6,MCM5,ORC6,MAD2L2,MCM4,MCM6,DBF4,TICRR,ORC5,CDT1,MCM7,REV3L,WDHD1,CDC7,MCM10,MCM3	1.36e-24	1.15e-19	(2016) Chromosome Duplication in Saccharomyces cerevisiae.
COMPARTMENTS	GOCC:0042555	11	13	9606	CDC6,MCM5,MCM4,MCM6,MCM2,CDT1,MCM7,MCM9,MCM8,MCM3,MCM8-2	CDC6,MCM5,MCM4,MCM6,MCM2,CDT1,MCM7,MCM9,MCM8,MCM3,MCM8-2	9.77e-22	1.32e-19	MCM complex
PMID	PMID:28270517	13	20	9606	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,CDC7,GINS3,MCM10	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,CDC7,GINS3,MCM10	1.87e-24	1.54e-19	(2017) Mcm10 regulates DNA replication elongation by stimulating the CMG replicative helicase.
PMID	PMID:31527453	16	65	9606	CDC6,POLE2,GINS2,CDK4,GINS1,POLD3,MCM2,POLA2,ORC5,CDT1,PRIM1,POLA1,CDK1,CDKN1A,CCNE2,CCNA2	CDC6,POLE2,GINS2,CDK4,GINS1,POLD3,MCM2,POLA2,ORC5,CDT1,PRIM1,POLA1,CDK1,CDKN1A,CCNE2,CCNA2	2.11e-24	1.71e-19	(2019) Synergistic Cytotoxicity of Renieramycin M and Doxorubicin in MCF-7 Breast Cancer Cells.
PMID	PMID:33804958	14	32	9606	CDC6,MAD2L2,CCNA1,CDK4,MCM4,CDK6,CDK2,RB1,CDT1,E2F1,RRM2,CDKN1A,CDC7,CCNE2	CDC6,MAD2L2,CCNA1,CDK4,MCM4,CDK6,CDK2,RB1,CDT1,E2F1,RRM2,CDKN1A,CDC7,CCNE2	2.1499999999999998e-24	1.71e-19	(2021) Musashi1 Contribution to Glioblastoma Development via Regulation of a Network of DNA Replication, Cell Cycle and Division Genes.
PMID	PMID:31308451	15	47	9606	CDC6,MCM5,RBX1,ORC6,MCM4,POLD3,POLA2,GINS4,ORC5,CDT1,MCM7,POLE,E2F1,MCM10,MCM3	CDC6,MCM5,RBX1,ORC6,MCM4,POLD3,POLA2,GINS4,ORC5,CDT1,MCM7,POLE,E2F1,MCM10,MCM3	2.23e-24	1.75e-19	(2019) Cell type specific transcriptional reprogramming of maize leaves during Ustilago maydis induced tumor formation.
PMID	PMID:33522487	15	48	9606	CDC6,ORC6,CCNA1,ORC3,MCM4,CCNE1,CDK2,TICRR,ORC5,CDT1,E2F1,CDK1,MCM10,ORC4,CCNA2	CDC6,ORC6,CCNA1,ORC3,MCM4,CCNE1,CDK2,TICRR,ORC5,CDT1,E2F1,CDK1,MCM10,ORC4,CCNA2	2.9299999999999998e-24	2.25e-19	(2021) The human origin recognition complex is essential for pre-RC assembly, mitosis, and maintenance of nuclear structure.
PMID	PMID:33060134	13	21	9606	CDC6,MCM5,POLE2,ORC6,GMNN,MCM4,GINS1,CDT1,DONSON,PRIM1,POLA1,ORC4,POLD2	CDC6,MCM5,POLE2,ORC6,GMNN,MCM4,GINS1,CDT1,DONSON,PRIM1,POLA1,ORC4,POLD2	3.01e-24	2.28e-19	(2020) PRIM1 deficiency causes a distinctive primordial dwarfism syndrome.
PMID	PMID:15197178	13	21	9606	CDC6,MCM5,CCNA1,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,CDK1,CDC7,MCM3,CCNA2	CDC6,MCM5,CCNA1,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,CDK1,CDC7,MCM3,CCNA2	3.01e-24	2.28e-19	(2004) Deregulation of cyclin E in human cells interferes with prereplication complex assembly.
PMID	PMID:33828075	15	49	9606	MCM5,POLE2,CCNA1,CDK4,MCM6,CDK6,CDK2,MCM7,MCM9,MCM8,CDK1,MCM10,MCM3,CCNA2,MCM8-2	MCM5,POLE2,CCNA1,CDK4,MCM6,CDK6,CDK2,MCM7,MCM9,MCM8,CDK1,MCM10,MCM3,CCNA2,MCM8-2	3.81e-24	2.78e-19	(2021) Knockdown of MCM8 functions as a strategy to inhibit the development and progression of osteosarcoma through regulating CTGF.
PMID	PMID:34404366	14	34	9606	MCM5,GINS2,MCM4,MCM6,CDT1,MCM7,MCM9,PRIM1,MCM8,MCMDC2,MCM10,CDKN2A,MCM3,MCM8-2	MCM5,GINS2,MCM4,MCM6,CDT1,MCM7,MCM9,PRIM1,MCM8,MCMDC2,MCM10,CDKN2A,MCM3,MCM8-2	4.2999999999999996e-24	3.08e-19	(2021) Bioinformatics analysis of the transcriptional expression of minichromosome maintenance proteins as potential indicators of survival in patients with cervical cancer.
PMID	PMID:33130827	15	52	9606	CDC6,RBX1,CCNA1,CDK4,CDK6,CDK2,RB1,SKP2,CDT1,CDC25A,DTL,CDK1,MCM10,CDKN2A,CCNA2	CDC6,RBX1,CCNA1,CDK4,CDK6,CDK2,RB1,SKP2,CDT1,CDC25A,DTL,CDK1,MCM10,CDKN2A,CCNA2	8.199999999999999e-24	5.79e-19	(2021) Ubiquitin signaling in cell cycle control and tumorigenesis.
RCTM	HSA-68867	16	111	9606	CDC6,MCM5,ORC6,GMNN,ORC2,ORC3,MCM4,MCM6,MCM2,ORC5,CDT1,MCM7,ORC1,MCM8,ORC4,MCM3	CDC6,MCM5,ORC6,GMNN,ORC2,ORC3,MCM4,MCM6,MCM2,ORC5,CDT1,MCM7,ORC1,MCM8,ORC4,MCM3	4.57e-21	5.79e-19	Assembly of the pre-replicative complex
Component	GO:0032993	19	226	9606	MCM5,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,DONSON,MCM7,PRIM1,RPA4,POLA1,GINS3,POLD2,MCM3,PRIM2	MCM5,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,DONSON,MCM7,PRIM1,RPA4,POLA1,GINS3,POLD2,MCM3,PRIM2	7.78e-21	1.06e-18	protein-DNA complex
PMID	PMID:25739503	13	25	9606	CDC6,ORC6,CCNA1,MCM4,DBF4,CDK2,TICRR,CDT1,MCM7,WDHD1,GINS3,MCM10,CCNA2	CDC6,ORC6,CCNA1,MCM4,DBF4,CDK2,TICRR,CDT1,MCM7,WDHD1,GINS3,MCM10,CCNA2	1.74e-23	1.21e-18	(2015) Regulated eukaryotic DNA replication origin firing with purified proteins.
PMID	PMID:33014855	14	39	9606	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,CDK6,CDK2,MCM7,E2F1,CDK1,CCNE2,MCM3,CCNA2	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,CDK6,CDK2,MCM7,E2F1,CDK1,CCNE2,MCM3,CCNA2	2.1099999999999998e-23	1.45e-18	(2020) RPL21 siRNA Blocks Proliferation in Pancreatic Cancer Cells by Inhibiting DNA Replication and Inducing G1 Arrest and Apoptosis.
PMID	PMID:30700044	13	26	9606	CDC6,ORC6,CCNA1,DBF4,CDK2,TICRR,CDT1,MCM7,DTL,CDK1,MCM10,MCM3,CCNA2	CDC6,ORC6,CCNA1,DBF4,CDK2,TICRR,CDT1,MCM7,DTL,CDK1,MCM10,MCM3,CCNA2	2.6e-23	1.75e-18	(2019) Control of Eukaryotic DNA Replication Initiation-Mechanisms to Ensure Smooth Transitions.
PMID	PMID:21067790	17	104	9606	CDC6,RBX1,MAD2L2,CCNA1,MCM4,MCM6,CDK6,CDK2,CDC25A,MCM7,CDK1,CDC7,CUL2,CDKN2A,CCNE2,MCM3,CCNA2	CDC6,RBX1,MAD2L2,CCNA1,MCM4,MCM6,CDK6,CDK2,CDC25A,MCM7,CDK1,CDC7,CUL2,CDKN2A,CCNE2,MCM3,CCNA2	3.3899999999999994e-23	2.25e-18	(2011) The retroviral cyclin of walleye dermal sarcoma virus binds cyclin-dependent kinases 3 and 8.
PMID	PMID:19896182	12	16	9606	CDC6,MCM5,ORC6,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,CDC7,ORC4,MCM3	CDC6,MCM5,ORC6,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,CDC7,ORC4,MCM3	3.47e-23	2.27e-18	(2009) Concerted loading of Mcm2-7 double hexamers around DNA during DNA replication origin licensing.
PMID	PMID:30218786	12	16	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,CDT1,MCM7,ORC1,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,ORC5,CDT1,MCM7,ORC1,ORC4,MCM3	3.47e-23	2.27e-18	(2018) A structural view of the initiators for chromosome replication.
PMID	PMID:23552402	15	59	9606	CDC6,CCNA1,MCM4,DBF4,GINS4,CDT1,CDC25A,MCM7,POLE,REV3L,MCM8,POLG,ORC4,CCNA2,MCM8-2	CDC6,CCNA1,MCM4,DBF4,GINS4,CDT1,CDC25A,MCM7,POLE,REV3L,MCM8,POLG,ORC4,CCNA2,MCM8-2	4.25e-23	2.69e-18	(2012) DNA replication stress response involving PLK1, CDC6, POLQ, RAD51 and CLASPIN upregulation prognoses the outcome of earlymid-stage non-small cell lung cancer patients.
PMID	PMID:28106858	13	28	9606	CDC6,CCNA1,MCM6,DBF4,CDK2,TICRR,CDT1,CDC25A,CDK1,CDC7,CCNE2,MCM3,CCNA2	CDC6,CCNA1,MCM6,DBF4,CDK2,TICRR,CDT1,CDC25A,CDK1,CDC7,CCNE2,MCM3,CCNA2	5.62e-23	3.51e-18	(2017) Regulation of DNA Replication in Early Embryonic Cleavages.
PMID	PMID:30257992	13	28	9606	CDC6,MCM5,CDK4,MCM4,MCM6,CDK2,GINS4,CDT1,CDC25A,MCM7,CDKN1A,ORC4,MCM3	CDC6,MCM5,CDK4,MCM4,MCM6,CDK2,GINS4,CDT1,CDC25A,MCM7,CDKN1A,ORC4,MCM3	5.62e-23	3.51e-18	(2019) TGFbeta1 Cell Cycle Arrest Is Mediated by Inhibition of MCM Assembly in Rb-Deficient Conditions.
PMID	PMID:33616038	12	17	9606	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,POLE,GINS3,MCM10,MCM3	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,CDT1,MCM7,POLE,GINS3,MCM10,MCM3	5.9e-23	3.59e-18	(2021) DDK regulates replication initiation by controlling the multiplicity of Cdc45-GINS binding to Mcm2-7.
PMID	PMID:32453425	12	17	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,WDHD1,GINS3,MCM10,MCM3	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,WDHD1,GINS3,MCM10,MCM3	5.9e-23	3.59e-18	(2020) CryoEM structures of human CMG-ATPgammaS-DNA and CMG-AND-1 complexes.
PMID	PMID:25231993	12	17	9606	CDC6,MCM5,GMNN,MCM4,MCM6,DBF4,ORC5,CDT1,MCM7,ORC1,CDC7,MCM3	CDC6,MCM5,GMNN,MCM4,MCM6,DBF4,ORC5,CDT1,MCM7,ORC1,CDC7,MCM3	5.9e-23	3.59e-18	(2014) Geminin inhibits a late step in the formation of human pre-replicative complexes.
PMID	PMID:31933406	13	29	9606	POLE2,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,POLE4,POLG2,POLD2,PRIM2	POLE2,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,POLE4,POLG2,POLD2,PRIM2	8.11e-23	4.74e-18	(2020) The DNA polymerases of Drosophila melanogaster.
Component	GO:0043232	55	5191	9606	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	CDC6,MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	3.91e-20	5.01e-18	Intracellular non-membrane-bounded organelle
Process	GO:0044843	15	88	9606	CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDKN1A,CDC7,CUL2,CCNE2,CCNA2	CDK4,CCNE1,DBF4,CDK6,CDK2,RB1,SKP2,CDC25A,POLE,E2F1,CDKN1A,CDC7,CUL2,CCNE2,CCNA2	8.82e-21	5.12e-18	Cell cycle G1/S phase transition
Component	GO:0071162	10	11	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	4.65e-20	5.28e-18	CMG complex
PMID	PMID:27751725	12	18	9606	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,CDC7,GINS3,MCM10,MCM3	CDC6,MCM5,MCM4,MCM6,DBF4,TICRR,GINS4,CDT1,CDC7,GINS3,MCM10,MCM3	9.809999999999999e-23	5.65e-18	(2016) An Mcm10 Mutant Defective in ssDNA Binding Shows Defects in DNA Replication Initiation.
COMPARTMENTS	GOCC:0071162	10	11	9606	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	MCM5,GINS2,MCM4,GINS1,MCM6,MCM2,GINS4,MCM7,GINS3,MCM3	4.65e-20	5.94e-18	CMG complex
PMID	PMID:25085418	12	19	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,GINS4,CDT1,MCM7,GINS3,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,GINS4,CDT1,MCM7,GINS3,MCM3	1.6000000000000002e-22	9.07e-18	(2014) A unique DNA entry gate serves for regulated loading of the eukaryotic replicative helicase MCM2-7 onto DNA.
PMID	PMID:27057756	13	31	9606	CDC6,ORC6,ORC3,MCM4,MCM6,MCM2,DBF4,ORC5,CDT1,MCM7,CDC7,ORC4,MCM3	CDC6,ORC6,ORC3,MCM4,MCM6,MCM2,DBF4,ORC5,CDT1,MCM7,CDC7,ORC4,MCM3	1.64e-22	9.22e-18	(2016) A Role of hIPI3 in DNA Replication Licensing in Human Cells.
PMID	PMID:32194798	13	31	9606	CDC6,POLE2,ORC6,ORC3,ORC5,MCM7,POLE,REV3L,RRM2,ORC1,CDC7,MCM10,ORC4	CDC6,POLE2,ORC6,ORC3,ORC5,MCM7,POLE,REV3L,RRM2,ORC1,CDC7,MCM10,ORC4	1.64e-22	9.22e-18	(2020) Novel candidate biomarkers of origin recognition complex 1, 5 and 6 for survival surveillance in patients with hepatocellular carcinoma.
Process	GO:0033554	35	1572	9606	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,DTL,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,MCMDC2,MCM10,CDKN2A,POLG2,POLD2,MCM3,CCNA2	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,DTL,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,MCMDC2,MCM10,CDKN2A,POLG2,POLD2,MCM3,CCNA2	1.83e-20	1.02e-17	Cellular response to stress
PMID	PMID:29357069	15	66	9606	CDC6,RBX1,CCNA1,CDK4,CDK2,SKP2,CDT1,CDC25A,MCM7,E2F1,DTL,CDK1,CDKN1A,MCM10,CCNA2	CDC6,RBX1,CCNA1,CDK4,CDK2,SKP2,CDT1,CDC25A,MCM7,E2F1,DTL,CDK1,CDKN1A,MCM10,CCNA2	1.86e-22	1.02e-17	(2017) Regulation of Mammalian DNA Replication via the Ubiquitin-Proteasome System.
PMID	PMID:31142274	14	47	9606	CDC6,CCNA1,CDK4,DBF4,CDK2,RB1,SKP2,E2F1,CDK1,CDKN1A,CDC7,CDKN2A,MCM3,CCNA2	CDC6,CCNA1,CDK4,DBF4,CDK2,RB1,SKP2,E2F1,CDK1,CDKN1A,CDC7,CDKN2A,MCM3,CCNA2	1.94e-22	1.05e-17	(2019) Time varying causal network reconstruction of a mouse cell cycle.
Component	GO:1902494	34	1539	9606	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,RB1,SKP2,POLE,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	RBX1,POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,ELOB,CCNE1,POLD3,POLA2,CDK6,CDK2,RB1,SKP2,POLE,PRIM1,REV3L,RRM2,DTL,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,CUL2,POLE4,CCNE2,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	1.08e-19	1.17e-17	Catalytic complex
PMID	PMID:34859821	13	32	9606	CDC6,MCM5,MCM4,MCM6,CDT1,MCM7,MCM9,MCM8,POLA1,CDC7,MCM10,MCM3,MCM8-2	CDC6,MCM5,MCM4,MCM6,CDT1,MCM7,MCM9,MCM8,POLA1,CDC7,MCM10,MCM3,MCM8-2	2.3000000000000003e-22	1.23e-17	(2021) Multiomics profiling of the expression and prognosis of MCMs in endometrial carcinoma.
PMID	PMID:29285216	13	33	9606	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,RB1,CDT1,MCM7,MCM8,MCM10,MCM3,MCM8-2	CDC6,MCM5,CDK4,MCM4,CCNE1,MCM6,RB1,CDT1,MCM7,MCM8,MCM10,MCM3,MCM8-2	3.2000000000000003e-22	1.69e-17	(2017) Lamin B2 binding to minichromosome maintenance complex component 7 promotes non-small cell lung carcinogenesis.
PMID	PMID:23738901	13	33	9606	CDC6,ORC6,CCNA1,CDK4,CCNE1,CDK6,CDK2,CDC25A,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	CDC6,ORC6,CCNA1,CDK4,CCNE1,CDK6,CDK2,CDC25A,CDK1,CDKN1A,CDKN2A,CCNE2,CCNA2	3.2000000000000003e-22	1.69e-17	(2013) Screening of feature genes of the ovarian cancer epithelia with DNA microarray.
PMID	PMID:23658226	12	21	9606	CDC6,MCM5,MCM4,TICRR,GINS4,ORC5,CDT1,MCM7,E2F1,CDC7,GINS3,ORC4	CDC6,MCM5,MCM4,TICRR,GINS4,ORC5,CDT1,MCM7,E2F1,CDC7,GINS3,ORC4	3.99e-22	2.06e-17	(2013) Activation of a human chromosomal replication origin by protein tethering.
PMID	PMID:19288185	14	50	9606	CDC6,CCNA1,CDK4,CDK6,CDK2,GINS4,CDT1,CDC25A,POLA1,CDK1,CDKN1A,GINS3,CCNE2,CCNA2	CDC6,CCNA1,CDK4,CDK6,CDK2,GINS4,CDT1,CDC25A,POLA1,CDK1,CDKN1A,GINS3,CCNE2,CCNA2	4.0900000000000002e-22	2.08e-17	(2009) Evidence that human blastomere cleavage is under unique cell cycle control.
